                    3000           ICA            Mon May 27 22:56:51 2024
                    3000           RCA            Mon May 27 22:56:56 2024
                    3000           DCA            Mon May 27 22:57:01 2024
                    3000           ICA            Mon May 27 23:39:10 2024
                    3000           RCA            Mon May 27 23:39:14 2024
Marco               1000           LGI            Tue May 28 16:22:08 2024
                    3000           ICA            Tue May 28 16:22:33 2024
Marco               1000           LGI            Tue May 28 16:36:18 2024
Marco               4001           IEN            Tue May 28 16:37:12 2024
                    4001           DEN            Tue May 28 16:37:20 2024
Marco               1000           LGI            Tue May 28 16:38:23 2024
Marco               4001           DEN            Tue May 28 16:38:36 2024
Marco               1000           LGI            Tue May 28 16:43:38 2024
Marco               4001           IUS            Tue May 28 16:43:53 2024
Marco               4001           DUS            Tue May 28 16:44:11 2024
                    3000           RCA            Tue May 28 16:44:19 2024
Marco               3001           DPA            Tue May 28 16:44:20 2024
Kathia              1000           LGI            Tue May 28 16:48:39 2024
Kathia              3001           DPA            Tue May 28 16:48:52 2024
Kathia              5001           DEN            Tue May 28 16:49:05 2024
Marco               1000           LGI            Tue May 28 16:52:44 2024
                    1              LGO            Tue May 28 16:52:46 2024
Marco               1000           LGI            Tue May 28 16:54:28 2024
Marco               4001           LGO            Tue May 28 16:54:31 2024
Maria               1000           LGI            Tue May 28 16:56:09 2024
Maria               4001           LGO            Tue May 28 16:56:11 2024
